,category,num_of_reviews,product_id
40302,트리트먼트/팩,0.0,86572
40303,트리트먼트/팩,0.0,86570
40304,"태닝,바디오일",37.0,11497
40305,톤업크림,1.0,97747
40306,립밤,0.0,103026
40307,립밤,0.0,103027
40308,크림,0.0,97745
40309,제모제/용품,2.0,97744
40310,페이스소품,0.0,89675
40311,클렌징밀크,0.0,55489
40312,크림,0.0,32218
40313,마스크시트,0.0,105766
40314,마스크시트,0.0,105765
40315,트러블케어,14.0,42237
40316,헤어/바디,0.0,20349
40317,헤어에센스,0.0,105947
40318,샴푸,0.0,20351
40319,트리트먼트/팩,16.0,57745
40320,샴푸,2.0,20348
40321,샴푸,0.0,20352
40322,샴푸,119.0,20347
40323,샴푸,1.0,20350
40324,크림,0.0,26121
40325,베이스프라이머,1.0,93361
40326,샴푸,1.0,101867
40327,트리트먼트/팩,2.0,101869
40328,트리트먼트/팩,3.0,101870
40329,페이스소품,0.0,1634
40330,브러쉬,2.0,101971
40331,브러쉬,3.0,98529
40332,브러쉬,0.0,98531
40333,브러쉬,0.0,98534
40334,브러쉬,0.0,100352
40335,브러쉬,0.0,100351
40336,브러쉬,0.0,98533
40337,브러쉬,1.0,100350
40338,"스킨,에센스",4.0,80968
40339,워시오프,65.0,76469
40340,샴푸,2.0,92017
40341,트리트먼트/팩,0.0,106705
40342,샴푸,0.0,106703
